requirement_id,source_location,requirement,applicable_files,verification_method,current_status,evidence,approval_status
P04-D04,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:769,- full implicit-function derivation.,Phase 4 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P04-G02,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:775,- route comparison is not tautological;,Phase 4 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P04-G03,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:776,- MAH may have zero effect on many projects;,Phase 4 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P04-G04,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:777,- transfer and abandonment remain valid outside options;,Phase 4 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P04-G05,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:778,- no route share is generated by logit.,Phase 4 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P05-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:782-914,"project-advancement problem, FOC/SOC, value gap",existing Phase 5 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P05-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:782-914,C_X consistent; x_i boundary; MAH affects x_i only through Omega_i,Phase 5 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P05-D02,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:899,- `05_rd_problem.tex`,Phase 5 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P05-D03,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:900,- full FOC/SOC derivation,Phase 5 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P05-D04,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:901,- value-gap foundation subsection.,Phase 5 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P05-G02,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:907,- R&D is ex ante;,Phase 5 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P05-G03,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:908,- route choice is downstream;,Phase 5 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P05-G04,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:909,- \(a_i\) scales project-generation productivity;,Phase 5 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P05-G05,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:910,"- \(k_i\) affects project value through manufacturing organization, not research technology;",Phase 5 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P05-G06,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:911,- MAH affects R&D only through \(\Omega_i\).,Phase 5 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P06-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:915-1068,"CMO supply, demand, and market clearing",existing Phase 6 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P06-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:915-1068,route and x_i feedback; aggregate regularity; no unresolved circularity,Phase 6 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P06-D02,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1053,- `06_cmo_supply_demand_equilibrium.tex`,Phase 6 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P06-D03,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1054,- existence/uniqueness proof,Phase 6 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P06-D04,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1055,- monotonicity audit.,Phase 6 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P06-G02,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1061,- route choice depends on \(p_m\);,Phase 6 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P06-G03,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1062,- R&D depends on \(p_m\) through route value;,Phase 6 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P06-G04,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1063,- demand therefore includes both intensive R&D response and route-selection response;,Phase 6 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P06-G05,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1064,- supply is upward sloping from an explicit CMO optimization problem;,Phase 6 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P06-G06,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1065,- no circularity is left unresolved.,Phase 6 outputs,line-specific requirement inspection,NOT STARTED,Not revalidated in this revision,No
P07-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1069-1112,partial-equilibrium definition,existing Phase 7 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P07-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1069-1112,"only p_m^*, x_i^*, r_i^*, s_j^*; no other market closure",Phase 7 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P08-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1113-1372,six propositions and one novelty corollary,existing Phase 8 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P08-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1113-1372,assumptions/proofs/fixed objects/sufficient conditions/zero cases; no extra substantive proposition,Phase 8 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P09-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1373-1413,"planning, route, realization, type outcomes",existing Phase 9 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P09-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1373-1413,common x_i and rho_g F_g; no x_ig control; patents outside baseline outcome,Phase 9 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P10-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1414-1437,empirical mapping interface,existing Phase 10 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P10-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1414-1437,unit/grain/key/availability/identification limits; no invented data,Phase 10 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P11-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1438-1496,extensions file,existing Phase 11 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P11-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1438-1496,all extensions isolated from baseline,Phase 11 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P12-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1497-1528,old-to-new crosswalk,existing Phase 12 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P12-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1497-1528,trace every old-object dependency; legacy files remain read-only,Phase 12 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P13-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1529-1589,complete equation dependency map,existing Phase 13 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P13-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1529-1589,explicit p_m fixed point and solve order,Phase 13 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P14-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1590-1636,assumption blocks and proposition-assumption matrix,existing Phase 14 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P14-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1590-1636,primitive/derived/assumed distinction; no conclusion-as-assumption,Phase 14 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P15-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1637-1663,comparative statics and full derivation draft,existing Phase 15 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P15-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1637-1663,fixed/equilibrium price and finite/derivative distinctions; boundary tests; compile,Phase 15 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P16-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1664-1722,main-text and appendix candidates,existing Phase 16 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P16-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1664-1722,only from approved full draft; Shi Gu details page/table verified,Phase 16 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P17-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1723-1757,global consistency audit,existing Phase 17 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P17-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1723-1757,zero P0; candidate consistency; legacy manuscript unchanged,Phase 17 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
P18-D01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1758-1776,scoped manuscript integration and final build,existing Phase 18 outputs (8a99cc3); revision outputs only after preceding approval,reuse then diff/definition audit,NOT STARTED,Not revalidated in this revision,No
P18-G01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1758-1776,separate approval; scoped diff; compile/label/reference/notation audit,Phase 18 gate,independent mathematical audit; static audit; actual compile; explicit user approval,NOT STARTED,Not revalidated in this revision,No
QA-PROOF-01,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1828,Independently rederive every FOC and derivative,relevant derivation phase,independent calculation + named boundary evidence,PENDING,Not revalidated in this revision,No
QA-PROOF-02,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1828,Check SOC and corners,relevant derivation phase,independent calculation + named boundary evidence,PENDING,Not revalidated in this revision,No
QA-PROOF-03,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1828,Check units,relevant derivation phase,independent calculation + named boundary evidence,PENDING,Not revalidated in this revision,No
QA-PROOF-04,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1828,Check signs and sufficient conditions,relevant derivation phase,independent calculation + named boundary evidence,PENDING,Not revalidated in this revision,No
QA-PROOF-05,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1828,k_i tends to infinity,relevant derivation phase,independent calculation + named boundary evidence,PENDING,Not revalidated in this revision,No
QA-PROOF-06,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1828,k_i below internal feasibility threshold,relevant derivation phase,independent calculation + named boundary evidence,PENDING,Not revalidated in this revision,No
QA-PROOF-07,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1828,M=0 removes E,relevant derivation phase,independent calculation + named boundary evidence,PENDING,Not revalidated in this revision,No
QA-PROOF-08,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1828,p_m tends to infinity preserves old choice set,relevant derivation phase,independent calculation + named boundary evidence,PENDING,Not revalidated in this revision,No
QA-PROOF-09,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1828,Zero entrusted advantage gives zero value/advancement gain,relevant derivation phase,independent calculation + named boundary evidence,PENDING,Not revalidated in this revision,No
QA-PROOF-10,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1828,Perfectly elastic CMO supply removes attenuation,relevant derivation phase,independent calculation + named boundary evidence,PENDING,Not revalidated in this revision,No
QA-PROOF-11,paper/model_rebuild/spec/revision_20260907/source/MAH_model_rebuild_execution_note_for_Codex.md:1828,nu=1 gives linear advancement rule,relevant derivation phase,independent calculation + named boundary evidence,PENDING,Not revalidated in this revision,No
QA-ECON-01,BASE §27; AMD11 H--V,Economic explanation for each result,proof and empirical-boundary files,manual interpretation audit,PENDING,Not revalidated in this revision,No
QA-ECON-02,BASE §27; AMD11 H--V,Name actual margin: advancement/route/realized product,proof and empirical-boundary files,manual interpretation audit,PENDING,Not revalidated in this revision,No
QA-ECON-03,BASE §27; AMD11 H--V,No novelty ranking imposed,proof and empirical-boundary files,manual interpretation audit,PENDING,Not revalidated in this revision,No
QA-ECON-04,BASE §27; AMD11 H--V,No primitive-by-primitive identification claim,proof and empirical-boundary files,manual interpretation audit,PENDING,Not revalidated in this revision,No
QA-ECON-05,BASE §27; AMD11 H--V,Source claims match verified version,proof and empirical-boundary files,manual interpretation audit,PENDING,Not revalidated in this revision,No
SUCCESS-01,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md:2232,1. MAH changes one clearly defined institutional primitive.,final manuscript,full traceability audit,PENDING,Not revalidated in this revision,No
SUCCESS-02,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md:2233,2. Internal and entrusted manufacturing values are derived from explicit technologies and commercial profits.,final manuscript,full traceability audit,PENDING,Not revalidated in this revision,No
SUCCESS-03,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md:2234,3. Organizational route choice is endogenous.,final manuscript,full traceability audit,PENDING,Not revalidated in this revision,No
SUCCESS-04,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md:2235,4. The model identifies how MAH changes the expected value of advancing viable projects toward commercialization rather than mechanically increasing all upstream R&D.,final manuscript,full traceability audit,PENDING,Not revalidated in this revision,No
SUCCESS-05,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md:2236,5. The reform may have zero effect for many project–firm pairs and may affect original and incremental projects differently.,final manuscript,full traceability audit,PENDING,Not revalidated in this revision,No
SUCCESS-06,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md:2237,"6. The strongest baseline firm-level response is derived for research-capable but manufacturing-constrained developers, while the original-versus-incremental ranking remains agnostic absent additional primitive restrictions.",final manuscript,full traceability audit,PENDING,Not revalidated in this revision,No
SUCCESS-07,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md:2238,7. CMO scarcity is an equilibrium attenuation mechanism.,final manuscript,full traceability audit,PENDING,Not revalidated in this revision,No
SUCCESS-08,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md:2239,8. The model remains partial equilibrium and aligned with feasible empirical identification.,final manuscript,full traceability audit,PENDING,Not revalidated in this revision,No
SUCCESS-09,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md:2240,9. The theoretical baseline does not rely on logit option-value tautology.,final manuscript,full traceability audit,PENDING,Not revalidated in this revision,No
SUCCESS-10,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md:2241,10. All central comparative statics follow from a small set of interpretable economic primitives.,final manuscript,full traceability audit,PENDING,Not revalidated in this revision,No
SUCCESS-11,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md:2244,11. The baseline is consistent with clinical development rising while patent applications do not.,final manuscript,full traceability audit,PENDING,Not revalidated in this revision,No
SUCCESS-12,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md:2245,12. The model need not explain patent reallocation unless the explicit research-versus-development extension is activated.,final manuscript,full traceability audit,PENDING,Not revalidated in this revision,No
SUCCESS-13,paper/model_rebuild/spec/revision_20260907/MAH_model_rebuild_effective_spec_note_v1.1.md:2246,"13. The empirical contribution remains commercialization organization, retained holder–producer separation, manufacturing mismatch, and CMO scarcity rather than a reproduction of Shi Gu's mechanism.",final manuscript,full traceability audit,PENDING,Not revalidated in this revision,No
GOV-01,paper/model_rebuild/spec/revision_20260907/CURRENT_AUTHORITY.md:5,1. 以用户提供的 9 月 1 日正文与附录为稿件底稿，源版本为 8a99cc3；在现有 codex/mah-model-rebuild 分支续做，不重建或强制覆盖远端历史。,all current revision outputs,"preflight, approval, commit and protected-file evidence",PENDING,Not revalidated in this revision,No
GOV-02,paper/model_rebuild/spec/revision_20260907/CURRENT_AUTHORITY.md:6,2. 当前用户规则 > amendment v1.1 > 未受影响的旧 note。v1.2、9 月 3/4 日扩展及旧连续执行授权仅作历史证据。,all current revision outputs,"preflight, approval, commit and protected-file evidence",PENDING,Not revalidated in this revision,No
GOV-03,paper/model_rebuild/spec/revision_20260907/CURRENT_AUTHORITY.md:7,3. 原 MD 原样冻结，记录路径、大小、mtime 和 SHA256；保留原 note 全文及结构，仅派生有效规格。,all current revision outputs,"preflight, approval, commit and protected-file evidence",PENDING,Not revalidated in this revision,No
GOV-04,paper/model_rebuild/spec/revision_20260907/CURRENT_AUTHORITY.md:8,4. 红线扩展为 RL-01--RL-28；success 扩展为 SUCCESS-01--SUCCESS-13；正式阶段仍为 Phase 1--18。,all current revision outputs,"preflight, approval, commit and protected-file evidence",PENDING,Not revalidated in this revision,No
GOV-05,paper/model_rebuild/spec/revision_20260907/CURRENT_AUTHORITY.md:9,5. 使用独立 model_rebuild 与 model_notes 修订子目录。原 manuscript 和 9 月 1 日包在本轮 Phase 18 获批前只读。,all current revision outputs,"preflight, approval, commit and protected-file evidence",PENDING,Not revalidated in this revision,No
GOV-06,paper/model_rebuild/spec/revision_20260907/CURRENT_AUTHORITY.md:10,6. 每次开始读取有效规格相关章节、28 条红线、状态、symbols、assumptions、dependency map 和 open issues；先定义对象再写公式。,all current revision outputs,"preflight, approval, commit and protected-file evidence",PENDING,Not revalidated in this revision,No
GOV-07,paper/model_rebuild/spec/revision_20260907/CURRENT_AUTHORITY.md:11,7. 每阶段执行 preflight、对象检查、正式推导或既有推导复核、独立复核、自动审计、LaTeX 编译、gate report、暂停审批、批准后单独 commit 和 push。,all current revision outputs,"preflight, approval, commit and protected-file evidence",PENDING,Not revalidated in this revision,No
GOV-08,paper/model_rebuild/spec/revision_20260907/CURRENT_AUTHORITY.md:12,8. 状态仅为 NOT STARTED、IN PROGRESS、AUDIT FAILED、READY FOR APPROVAL、APPROVED；用户批准前 Approved to continue 一律 No。本轮状态与历史批准分开。,all current revision outputs,"preflight, approval, commit and protected-file evidence",PENDING,Not revalidated in this revision,No
GOV-09,paper/model_rebuild/spec/revision_20260907/CURRENT_AUTHORITY.md:13,9. P0：红线违反、未定义对象、推导或维度错误、循环不闭合、gate 失败、编译失败或需改变 locked architecture；出现未解决 P0 即停止。P1 记录并由用户决定是否阻断。,all current revision outputs,"preflight, approval, commit and protected-file evidence",PENDING,Not revalidated in this revision,No
GOV-10,paper/model_rebuild/spec/revision_20260907/CURRENT_AUTHORITY.md:14,10. 未获批准不得创建或修改后续 Phase 正式输出。不套用历史连续执行授权；每个获批 Phase 单独 commit，再 push 至 origin/codex/mah-model-rebuild。,all current revision outputs,"preflight, approval, commit and protected-file evidence",PENDING,Not revalidated in this revision,No
GOV-11,paper/model_rebuild/spec/revision_20260907/CURRENT_AUTHORITY.md:15,11. Phase 15 组装并审计 12_full_derivation_draft.tex；批准后才能进入 Phase 16 拆分；Phase 17 零 P0；Phase 18 明确批准后才备份并替换模型及直接依赖内容。,all current revision outputs,"preflight, approval, commit and protected-file evidence",PENDING,Not revalidated in this revision,No
GOV-12,paper/model_rebuild/spec/revision_20260907/CURRENT_AUTHORITY.md:16,12. 六个核心命题及 v1.1 novelty corollary 保留，逐一列明假设、推导、固定对象、充分条件、零效应与经济解释。不得虚构可用数据或逐个识别 primitives。,all current revision outputs,"preflight, approval, commit and protected-file evidence",PENDING,Not revalidated in this revision,No
GOV-13,paper/model_rebuild/spec/revision_20260907/CURRENT_AUTHORITY.md:17,13. 强制边界：高内部能力、内部生产不可行、M=0、无限 CMO 价格、零 entrusted advantage、完全弹性供给、nu=1。,all current revision outputs,"preflight, approval, commit and protected-file evidence",PENDING,Not revalidated in this revision,No
GOV-14,paper/model_rebuild/spec/revision_20260907/CURRENT_AUTHORITY.md:18,14. baseline 禁止 eta、logit、inclusive value、entry、welfare、portfolio dynamics、直接改变 s(q) 的政策渠道；旧对象只作 crosswalk 或明确 extensions。,all current revision outputs,"preflight, approval, commit and protected-file evidence",PENDING,Not revalidated in this revision,No
GOV-15,paper/model_rebuild/spec/revision_20260907/CURRENT_AUTHORITY.md:19,15. 最终验收须有全部当前阶段明确批准、零 P0、完整编译与图形检查、label/notation 审计、受限 diff 和每阶段提交/远端证据。最终交付一份包含修订正文与附录的 PDF；合并形式不改模型规格。,all current revision outputs,"preflight, approval, commit and protected-file evidence",PENDING,Not revalidated in this revision,No
